product_id,product_name,product_company,product_original_price,product_discounted_price,product_image,product_image_path,product_category,product_bottle_type,product_dietary_attribute
64,Pokka Premium Bottle Drink - Milk Tea (Less Sugar),Pokka,$1.50,$1.82,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13165513_XL1_20221123.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Premium Bottle Drink - Milk Tea (Less Sugar)500ml.jpg,Drinks,500ml,•Halal
65,Pokka Packet Drink - Natsbee Honey Yuzu,Pokka,$8.95,$14.53,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12709346_XL1_20230406.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Natsbee Honey Yuzu24 x 250ml (CTN).jpg,Drinks,24 x 250ml (CTN),•Halal
66,Pokka Packet Drink - Ice Peach Tea (Less Sugar),Pokka,$8.95,$14.40,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12709005_XL1_20230330.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Ice Peach Tea (Less Sugar)24 x 250ml (CTN).jpg,Drinks,24 x 250ml (CTN),•Halal
67,Pokka Can Drink - Ice Lemon Tea Zero Sugar,Pokka,$6.55,$8.75,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13261055_XL1_20241023.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Can Drink - Ice Lemon Tea Zero Sugar12 x 300ml.jpg,Drinks,12 x 300ml,•Halal
68,Pokka Can Drink - Green Tea (Peppermint),Pokka,$3.75,$4.65,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13110862_XL1_20221123.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Can Drink - Green Tea (Peppermint)6 x 300ml.jpg,Drinks,6 x 300ml,•Halal
69,Pokka Packet Drink - Mixed Berries & Carrot Juice,Pokka,$3.55,$4.19,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13049112_XL1_20221011.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Mixed Berries & Carrot Juice6 x 250ml.jpg,Drinks,6 x 250ml,
70,Pokka Lychee Oolong Tea,Pokka,$8.95,$14.40,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12714092_XL1_20250124.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Lychee Oolong Tea24 x 250ml (CTN).jpg,Drinks,24 x 250ml (CTN),•Halal
71,Pokka Can Drink - Jasmine Green Tea,Pokka,$13.60,$17.50,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10677955_XL1_20230324.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Can Drink - Jasmine Green Tea24 x 300ml (CTN).jpg,Drinks,24 x 300ml (CTN),
72,Pokka Bottle Drink - Carrot Juice,Pokka,$4.24,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10469769_XL1_20221229.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Carrot Juice1.5L.jpg,Drinks,1.5L,
73,Pokka Premium Coffee Can Drink - Milk,Pokka,$6.25,$7.56,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13076658_XL1_20250213.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Premium Coffee Can Drink - Milk6 x 240ml.jpg,Drinks,6 x 240ml,•Halal
74,Pokka Milk Coffee Bottle Drink - Less Sweet,Pokka,$1.50,$1.82,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13162859_XL1_20230712.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Milk Coffee Bottle Drink - Less Sweet500ml.jpg,Drinks,500ml,•Halal
